Ronda,Equipo 1,cantdidad de Goles 1,Equipo 2,Cantidad de Goles 2
1,Argentina,1,Arabia Saudita,2
1,Polonia,0,Mejico,0
1,Argentina,2,Mejico,0
1,Arabia Saudita,0,Polonia,2
